,playerID,yearID,BB,HR,RBI,SB,MVP,BA,OBP,SLG
54,rizzoan01,2019,71,27,94.0,5.0,0,0.29296875,0.40456769983686786,0.51953125
55,santaca01,2019,108,34,93.0,4.0,0,0.28097731239092494,0.3965014577259475,0.5148342059336823
56,semiema01,2019,87,33,92.0,10.0,0,0.2846270928462709,0.36947791164658633,0.5220700152207002
57,smithdo02,2019,19,11,25.0,1.0,0,0.2824858757062147,0.3553299492385787,0.5254237288135594
58,solakni01,2019,15,5,17.0,2.0,0,0.29310344827586204,0.3925925925925926,0.49137931034482757
59,sotoju01,2019,108,34,110.0,12.0,0,0.2822878228782288,0.4006069802731411,0.5479704797047971
60,springe01,2019,67,39,96.0,6.0,0,0.29227557411273486,0.3830935251798561,0.5908141962421712
61,stantmi03,2019,12,3,13.0,0.0,0,0.288135593220339,0.4027777777777778,0.4915254237288136
62,storytr01,2019,58,35,85.0,23.0,0,0.2942176870748299,0.3628048780487805,0.5544217687074829
63,suareeu01,2019,70,49,103.0,3.0,0,0.271304347826087,0.3580060422960725,0.5721739130434783
64,tatisfe02,2019,30,22,53.0,16.0,0,0.31736526946107785,0.3790322580645161,0.5898203592814372
65,tauchmi01,2019,34,13,47.0,6.0,0,0.27692307692307694,0.3614864864864865,0.5038461538461538
66,thomala02,2019,4,4,12.0,1.0,0,0.3157894736842105,0.4090909090909091,0.6842105263157895
67,troutmi01,2019,110,45,104.0,11.0,0,0.29148936170212764,0.43833333333333335,0.6446808510638298
68,turneju01,2019,51,27,67.0,2.0,0,0.29018789144050106,0.37158469945355194,0.5093945720250522
69,turnetr01,2019,43,19,57.0,35.0,0,0.29750479846449135,0.3532513181019332,0.4971209213051823
70,urshegi01,2019,25,21,74.0,1.0,0,0.31447963800904977,0.3550420168067227,0.5339366515837104
71,yelicch01,2019,80,44,97.0,30.0,0,0.3292433537832311,0.42931034482758623,0.6707566462167689
