,playerID,yearID,BB,HR,RBI,SB,MVP,BA,OBP,SLG
25,bellgu01,1955,54,27,104.0,4.0,0,0.3081967213114754,0.3611940298507463,0.5098360655737705
26,burgesm01,1955,47,20,77.0,1.0,0,0.30641330166270786,0.3726315789473684,0.498812351543943
27,camparo01,1955,56,32,107.0,2.0,1,0.3183856502242152,0.3945841392649903,0.5829596412556054
28,cervbo01,1955,7,3,22.0,4.0,0,0.3411764705882353,0.4105263157894737,0.5411764705882353
29,crowege01,1955,45,15,55.0,1.0,0,0.28052805280528054,0.3742857142857143,0.49504950495049505
30,dobyla01,1955,61,26,75.0,2.0,0,0.29124236252545826,0.36917562724014336,0.505091649694501
31,ennisde01,1955,46,29,120.0,4.0,1,0.29609929078014185,0.3462157809983897,0.5177304964539007
32,furilca01,1955,43,26,95.0,4.0,1,0.3135755258126195,0.3708838821490468,0.5200764818355641
33,grothjo01,1955,6,2,11.0,1.0,0,0.33766233766233766,0.3764705882352941,0.5064935064935064
34,hodgegi01,1955,80,27,102.0,2.0,0,0.2893772893772894,0.37715179968701096,0.5
35,kalinal01,1955,82,27,102.0,6.0,1,0.3401360544217687,0.42143906020558003,0.5459183673469388
36,kellefr02,1955,9,4,19.0,0.0,0,0.325,0.38461538461538464,0.575
37,kennebo01,1955,16,9,43.0,0.0,0,0.3037383177570093,0.3521739130434783,0.4953271028037383
38,kluszte01,1955,66,47,113.0,1.0,1,0.3137254901960784,0.3819241982507289,0.5849673202614379
39,longda02,1955,48,16,79.0,0.0,1,0.2911694510739857,0.3622881355932203,0.513126491646778
40,lopatst01,1955,58,22,58.0,4.0,0,0.2706270627062706,0.3879781420765027,0.5379537953795379
41,mantlmi01,1955,113,37,99.0,8.0,1,0.3056092843326886,0.4308176100628931,0.6112185686653772
42,matheed01,1955,109,41,101.0,3.0,1,0.28857715430861725,0.41300813008130083,0.6012024048096193
43,mayswi01,1955,79,51,127.0,24.0,1,0.31896551724137934,0.4,0.6586206896551724
44,musiast01,1955,80,33,108.0,5.0,1,0.3185053380782918,0.40825688073394495,0.5658362989323843
45,newcodo01,1955,6,7,23.0,1.0,1,0.358974358974359,0.3951612903225806,0.6324786324786325
46,popeda01,1955,12,6,22.0,0.0,0,0.2980769230769231,0.3728813559322034,0.5192307692307693
47,postwa01,1955,60,40,109.0,7.0,1,0.30948419301164726,0.37237237237237236,0.5740432612312812
48,powervi01,1955,35,19,76.0,0.0,1,0.3187919463087248,0.35377358490566035,0.5050335570469798
49,sievero01,1955,73,25,106.0,1.0,1,0.27111984282907664,0.3637901861252115,0.48919449901768175
50,skowrbi01,1955,21,12,61.0,1.0,0,0.3194444444444444,0.36942675159235666,0.5243055555555556
51,snidedu01,1955,104,42,136.0,9.0,1,0.30855018587360594,0.41756548536209553,0.6282527881040892
52,willite01,1955,91,28,83.0,2.0,1,0.35625,0.49640287769784175,0.703125
53,aaronha01,1956,37,26,92.0,2.0,1,0.3284072249589491,0.3648854961832061,0.5582922824302134
54,baileed01,1956,52,28,75.0,2.0,1,0.3002610966057441,0.38461538461538464,0.5509138381201044
55,bankser01,1956,52,28,85.0,6.0,1,0.29739776951672864,0.357504215851602,0.5297397769516728
56,bellgu01,1956,50,29,84.0,6.0,0,0.29187396351575456,0.34749620637329287,0.5008291873963516
57,berrayo01,1956,65,30,105.0,3.0,1,0.29750479846449135,0.3775167785234899,0.5335892514395394
58,boonera01,1956,77,25,81.0,0.0,0,0.3076923076923077,0.4028268551236749,0.5176715176715176
59,boyerke01,1956,38,26,98.0,8.0,1,0.3058823529411765,0.3469387755102041,0.49411764705882355
60,cervbo01,1956,18,3,25.0,0.0,0,0.30434782608695654,0.39552238805970147,0.5304347826086957
61,colavro01,1956,49,21,65.0,0.0,0,0.27639751552795033,0.3723404255319149,0.531055900621118
